向,10
隻,10
等,10
偶像,10
抄襲,10
吸引,10
法律,10
秘密,10
遇到,10
東西,10
壞,10
正確,10
組織,10
越來,10
高,10
在家,10
直擊,10
再度,10
節目,10
面對,10
比較,10
2021,10
＃,10
EP007,10
伊朗,10
無限寶石,10
日,10
啾,10
讚,9
成,9
崛起,9
主角,9
以色列,9
不會,9
法,9
習近,9
拍,9
普丁,9
差,9
抗議,9
超級,9
8,9
課,9
真相,9
闆,9
全,9
推薦,9
一邊,9
辦法,9
更好,9
變,9
外交,9
Tinder,9
或,9
受害者,9
EP016,9
機會,9
起來,9
男,9
早餐,9
少女,9
走入,9
開始,9
EP019,9
老人,9
結婚,9
一堆,9
泰國,9
就要,9
校園,9
真心,9
三個,9
百萬,9
不斷,9
很多,9
無法,9
啊,9
電影,9
法官,9
即將,9
社群,9
父母,9
合理,9
當,9
霸凌,9
每天,9
一種,9
騷擾,9
瘋狂,9
小粉,9
印尼,9
EP008,9
之亂,9
深訪,9
黨,9
政黨,9
人格,8
黑道,8
9,8
新疆,8
發明,8
環境,8
迷因,8
各國,8
她,8
比賽,8
台南,8
輕,8
管理,8
032,8
通過,8
今年,8
厲害,8
結果,8
壓力,8
......,8
當年,8
這裡,8
破,8
一場,8
立委,8
030,8
保護,8
德國,8
時候,8
少年,8
全民,8
美食,8
超多,8
強迫,8
陷入,8
創,8
亂,8
標準,8
歲,8
EP015,8
怕,8
EP013,8
EP012,8
加入,8
人物,8
超過,8
真正,8
還能,8
可樂,8
台北,8
灣,8
土耳其,8
國,8
口罩,8
條例,8
外,8
澳洲,8
其他,8
烏克蘭,8
家人,8
安倍,8
注意,8
們,8
金,8
議題,8
Video,8
考,8
大火,8
法國,8
宋楚瑜,8
!,8
郭台銘,8
042,7
傳統,7
041,7
040,7
Netflix,7
共同,7
症候群,7
案,7
拿,7
救,7
名,7
性,7
吵架,7
＆,7
分析,7
髒,7
俄羅斯,7
持續,7
假,7
危險,7
034,7
不敢,7
反,7
集體,7
家暴,7
無,7
風險,7
2023,7
觀眾,7
宣布,7
記者,7
033,7
多少,7
亞洲,7
031,7
不想,7
和平,7
勞工,7
正在,7
不再,7
經典,7
減肥,7
反而,7
書,7
EP027,7
古人,7
進口,7
鏈,7
談,7
推出,7
攻擊,7
人口,7
引爆,7
黑洞,7
各地,7
公平,7
爸爸,7
50,7
集團,7
取代,7
員,7
常常,7
中華民國,7
70,7
NCC,7
怪,7
間諜,7
性侵,7
笑,7
廣告,7
EP024,7
叫,7
傷害,7
努力,7
049,7
式,7
學校,7
每次,7
勒索,7
+,7
直播,7
出國,7
多年,7
女王,7
失控,7
義,7
大利,7
拜,7
住,7
這種,7
抵制,7
大戰,7
週年,7
墨西哥,7
之外,7
IG,7
罷免,7
之前,7
幫,7
報告,7
5G,7
女,7
掉,7
時,7
引起,7
非洲,7
性別,7
菲律賓,7
正義,7
有效,7
EP009,7
石虎,7
奧運,7
更新,7
大麻,7
先,7
咖啡,7
試播集,7
措施,7
市長,7
基本,7
🐭,7
🧧,7
－,7
＋,7
大串,7
燒,7
發展,6
洗,6
過世,6
活動,6
營,6
喝酒,6
紅什麼,6
會員,6
改善,6
夯,6
合法,6
工程,6
絲,6
037,6
2024,6
挺,6
審查,6
036,6
神奇,6
作品,6
征服,6
何能,6
幫助,6
035,6
兒童,6
056,6
霸主,6
完全,6
藝人,6
第,6
適合,6
金正恩,6
傳奇,6
評價,6
髮,6
055,6
投票,6
禁忌,6
西亞,6
新加坡,6
054,6
做出,6
結束,6
這次,6
會有,6
政見,6
鬆,6
EP1,6
單身,6
抖音,6
高中生,6
年度,6
排行榜,6
國外,6
詐,6
巴黎,6
EP026,6
捲,6
生命,6
大法官,6
認證,6
藍色,6
發現,6
vs,6
店,6
052,6
EP022,6
心,6
工具,6
EP025,6
051,6
EP021,6
差點,6
面臨,6
改革,6
封殺,6
道,6
100,6
陰謀,6
變得,6
EP017,6
身為,6
EP014,6
不行,6
邪教,6
050,6
數位,6
EP011,6
EP010,6
上線,6
負責,6
048,6
整理,6
相信,6
蘇丹,6
047,6
總是,6
奇怪,6
冷知識,6
太,6
043,6
貴,6
品牌,6
感謝,6
來襲,6
羅,6
分,6
現身,6
超狂,6
抽,6
出征,6
電子,6
暴動,6
2022,6
過年,6
公共,6
快樂,6
feat,6
一週,6
理科,6
臉書,6
患者,6
11,6
只能,6
竟是,6
旅行,6
片,6
重新,6
什麼樣,6
實測,6
畢業,6
種族,6
歐洲,6
智慧,6
基因,6
內,6
禁止,6
告訴,6
"""",6
出來,6
魚乾,6
平台,6
規定,6
開放,6
自,6
一國,6
平權,6
討論,6
以,6
高雄,6
癒,6
新制,6
理由,6
談談,6
收入,6
國昌,6
大解密,6
Uber,6
24,5
超越,5
史,5
暗黑,5
組,5
近,5
值得,5
救星,5
失,5
何不,5
要求,5
038,5
顧,5
媽媽,5
型,5
兇,5
空污,5
地方,5
難以,5
買房,5
蛤,5
Huh,5
排隊,5
詞,5
冷,5
節,5
攻陷,5
監獄,5
禁,5
中國人,5
南韓,5
講什麼,5
人人,5
件,5
當初,5
造成,5
兇手,5
全台,5
所,5
醫生,5
心情,5
談戀,5
辱華,5
階級,5
有解,5
悲劇,5
上路,5
色,5
研究,5
深度,5
改用,5
整形,5
愛情,5
哭,5
統一,5
盤點,5
市場,5
一半,5
做到,5
只有,5
王,5
學習,5
效應,5
台灣會,5
出門,5
溝通,5
避免,5
回應,5
能源,5
…,5
福利,5
胖,5
一步,5
實驗,5
統戰,5
幕,5
沖,5
神聖,5
快,5
不管,5
檢舉,5
服務,5
廢除,5
誠,5
